timestamp, x, y, orientation, signal strength, ping time
1477454544696180.00,7.4580307,0.003222,0,-40,2.71
1477454544794350.00,7.48784065,0.00323746,0.00122173,-43,0.91
1477454544897150.00,7.51777792,0.00325912,-0.00174533,-37,1.4
1477454545000480.00,7.5376935,0.0032131,-0.00261799,-42,2.31
1477454545086770.00,7.557652,0.00315913,-0.00279253,-46,1.11
1477454545186560.00,7.58724833,0.00307217,-0.00314159,-48,0.94
1477454545282730.00,7.60712099,0.00299427,-0.00488692,-54,0.89
1477454545382280.00,7.64673853,0.00280589,-0.00418879,-49,0.85
1477454545482010.00,7.67177153,0.00268346,-0.00593412,-42,0.94
1477454545591000.00,7.69650602,0.00251923,-0.00837758,-47,0.9
1477454545683970.00,7.70631409,0.00243535,-0.00907571,-45,1.11
1477454545783540.00,7.73607969,0.00215659,-0.00994838,-41,0.92
1477454545882380.00,7.76593018,0.00183273,-0.01186824,-50,0.93
1477454545986410.00,7.78575897,0.0015948,-0.01239184,-46,0.95
1477454546085210.00,7.81548119,0.00121693,-0.01343904,-47,0.94
1477454546191870.00,7.84524488,0.00080653,-0.0137881,-50,1.84
1477454546289770.00,7.85509539,0.00067071,-0.01361357,-41,1.18
1477454546390640.00,7.88481712,0.00026955,-0.0143117,-44,1.06
1477454546487860.00,7.91462278,-0.00019699,-0.01727876,-42,2.17
1477454546616040.00,7.94442749,-0.00073545,-0.01919862,-38,0.93
1477454546711070.00,7.95419168,-0.00092464,-0.01972222,-42,0.89
1477454546787530.00,7.98399544,-0.00152206,-0.02024582,-40,0.94
1477454546886090.00,8.01367092,-0.00212468,-0.02007129,-37,0.99
1477454546989910.00,8.03341198,-0.00251493,-0.01954769,-44,0.96
1477454547090600.00,8.06325912,-0.00308451,-0.01780236,-38,0.93
1477454547185880.00,8.0931921,-0.00358605,-0.01675516,-41,0.9
1477454547288480.00,8.10308456,-0.00375354,-0.01762783,-49,1.16
1477454547388800.00,8.13280392,-0.00429743,-0.01954769,-37,0.92
1477454547488900.00,8.16265011,-0.00490612,-0.02076942,-45,0.94
1477454547617930.00,8.19223976,-0.00553458,-0.02234021,-36,0.86
1477454547701060.00,8.21202278,-0.00597151,-0.02111848,-38,2.62
1477454547786910.00,8.23201942,-0.00637882,-0.01902409,-38,0.9
1477454547888310.00,8.26233673,-0.00690205,-0.01500983,-35,0.88
1477454548002810.00,8.29205799,-0.00731019,-0.01186824,-42,0.94
1477454548107550.00,8.30220699,-0.00742626,-0.01029744,-38,2.25
1477454548196250.00,8.33231354,-0.00770292,-0.00820305,-42,1.16
1477454548299810.00,8.36225033,-0.00792224,-0.00663225,-41,1.12
1477454548403340.00,8.38242149,-0.00805074,-0.00575959,-38,0.94
1477454548505920.00,8.41235828,-0.00820314,-0.00418879,-43,1.48
1477454548617720.00,8.43257236,-0.00827645,-0.00261799,-43,0.91
1477454548716010.00,8.4527874,-0.00831347,-0.00069813,-41,0.87
